Nome da pessoa;Idade da pessoa;Documento CPF;Data de Nascimento;Sexo da pessoa;Signo da Pessoa;Nome da Mãe;Telefone Fixo;Telefone Celular;Altura da Pessoa;Peso da Pessoa;Tipo Sanguíneo da Pessoa
Ryan Yago Rocha;66;705.031.198-73;07/08/1955;Masculino;Leão;Mirella Lavínia Isabella;(11) 2716-0848;(11) 99369-5137;1,82;50;AB-
Márcio Roberto da Rosa;29;110.359.328-57;27/04/1992;Masculino;Touro;Stella Alessandra Mirella;(11) 3773-2510;(11) 99941-9363;1,73;93;B-
Luiz Nathan Benedito Santos;21;703.743.078-14;10/05/2000;Masculino;Touro;Giovana Larissa;(11) 3604-3925;(11) 99941-5463;1,78;97;A+
Osvaldo Erick Roberto Teixeira;19;487.808.348-41;08/12/2002;Masculino;Sagitário;Daniela Amanda Raquel;(11) 3979-2078;(11) 99250-2440;1,78;70;AB+
Stella Mariana Alessandra da Rocha;67;717.602.488-00;05/04/1954;Feminino;Áries;Heloise Stella;(19) 2764-6816;(19) 99523-4842;1,53;73;A-
Rebeca Isabelly Nair da Mota;52;990.081.868-70;18/01/1969;Feminino;Capricórnio;Jennifer Elaine Fabiana;(16) 2883-5986;(16) 98811-2399;1,58;52;AB-
Danilo Gabriel Vinicius Drumond;64;834.998.938-60;25/07/1957;Masculino;Leão;Tatiane Mirella;(19) 3748-1436;(19) 98581-9417;1,64;102;O-
Gabriel Bento Ian Almeida;55;686.465.388-93;10/04/1966;Masculino;Áries;Luciana Jéssica;(14) 3800-4468;(14) 98774-3569;1,7;83;A+
Calebe Emanuel da Silva;20;519.330.998-44;22/09/2001;Masculino;Virgem;Jéssica Elza Natália;(19) 3697-2229;(19) 99480-9923;1,65;64;O+
Iago Hugo da Costa;29;844.562.128-96;03/10/1992;Masculino;Libra;Manuela Betina;(14) 3937-8448;(14) 98249-0692;1,88;86;AB+
Giovana Isabela Moraes;20;896.597.638-32;24/12/2001;Feminino;Capricórnio;Camila Sueli Pietra;(11) 2976-3076;(11) 98682-5460;1,67;73;AB+
Analu Clara Manuela Bernardes;43;937.862.278-02;27/08/1978;Feminino;Virgem;Vitória Bárbara;(12) 2780-8407;(12) 99565-4554;1,75;89;O-
Emily Allana Castro;74;459.837.268-03;08/03/1947;Feminino;Peixes;Flávia Elaine;(13) 2679-5441;(13) 99851-8101;1,72;86;O+
Rafaela Elza Marina Pinto;21;624.338.648-10;03/04/2000;Feminino;Áries;Fernanda Tânia;(13) 2525-6668;(13) 98535-7634;1,75;66;AB-
Letícia Tereza Isabelly Silveira;52;177.720.828-94;21/08/1969;Feminino;Leão;Manuela Gabrielly Mariana;(18) 3563-5986;(18) 99138-5183;1,74;48;B+
Sebastiana Raquel Lorena Corte Real;73;282.634.398-09;08/01/1948;Feminino;Capricórnio;Daiane Malu Mariane;(12) 2553-4798;(12) 99548-3144;1,85;50;O+
Mário Cauã Novaes;73;779.400.958-89;05/06/1948;Masculino;Gêmeos;Gabriela Daniela Bianca;(11) 2771-7314;(11) 98827-6616;1,92;52;B-
Rosa Kamilly Vera Pinto;44;506.539.828-36;25/03/1977;Feminino;Áries;Letícia Clarice;(14) 3958-2177;(14) 98151-6312;1,52;86;A-
Benedito João Lucca Vieira;73;491.865.518-17;12/01/1948;Masculino;Capricórnio;Marlene Débora Julia;(11) 2653-1142;(11) 98745-1659;1,61;55;AB+
Carlos Victor Hugo Bernardes;51;716.452.358-40;23/04/1970;Masculino;Touro;Letícia Melissa Analu;(19) 3714-5145;(19) 99400-1819;1,79;102;A+
Nathan Kauê Kevin Gonçalves;19;649.151.598-25;24/10/2002;Masculino;Escorpião;Joana Esther;(11) 3807-4627;(11) 99735-8728;1,9;110;AB-
Henrique Theo Silveira;43;204.730.578-08;11/06/1978;Masculino;Gêmeos;Yasmin Jéssica;(11) 3691-7006;(11) 99924-3094;1,72;61;AB-
Martin Nelson Geraldo Silveira;21;452.698.718-23;21/02/2000;Masculino;Peixes;Natália Liz;(17) 2842-4457;(17) 99487-7227;1,91;52;O+
Cláudio Bryan Pinto;24;913.833.488-71;03/03/1997;Masculino;Peixes;Sarah Maria Agatha;(18) 3976-9254;(18) 98367-5328;1,81;72;AB+
Cláudia Cecília Jesus;31;391.582.208-60;14/05/1990;Feminino;Touro;Isabella Isadora Simone;(18) 2884-6907;(18) 98828-3045;1,56;45;A-
Daiane Giovanna Campos;23;527.855.698-65;12/04/1998;Feminino;Áries;Ayla Esther;(11) 3510-2001;(11) 99803-5589;1,8;52;B+
Joaquim Gabriel Teixeira;40;609.922.418-12;22/07/1981;Masculino;Leão;Rebeca Milena;(11) 2693-7778;(11) 99123-4589;1,82;64;B-
Raimunda Daniela Teixeira;20;726.271.368-01;23/10/2001;Feminino;Escorpião;Clara Nicole Sabrina;(19) 2737-8290;(19) 98349-9126;1,68;78;AB-
Vitor César Joaquim Freitas;40;644.476.298-79;18/09/1981;Masculino;Virgem;Isadora Marcela Emilly;(19) 2557-1065;(19) 99964-0549;1,63;93;AB-
Fernanda Raimunda Caldeira;44;442.382.888-07;04/03/1977;Feminino;Peixes;Flávia Emily;(11) 3989-5064;(11) 99811-4896;1,85;80;O-
Erick Luan Ryan Assis;19;601.676.718-20;04/02/2002;Masculino;Aquário;Bruna Isabelle Stella;(14) 3819-1348;(14) 98163-6445;1,89;96;O-
Nicole Clara da Paz;19;945.542.978-02;15/07/2002;Feminino;Câncer;Joana Vanessa;(11) 3644-6344;(11) 98637-6558;1,57;73;B-
Benício Fernando Antonio Sales;55;215.683.468-75;09/11/1966;Masculino;Escorpião;Isadora Hadassa;(11) 2772-7850;(11) 98216-7213;1,83;50;O-
Francisca Clara da Costa;19;247.002.518-40;20/04/2002;Feminino;Áries;Melissa Bianca;(11) 3778-6368;(11) 98523-9282;1,59;48;A+
Andreia Aurora Duarte;43;371.173.208-93;25/07/1978;Feminino;Leão;Julia Clarice Sebastiana;(19) 3786-6213;(19) 98612-4408;1,61;80;A+
Rafael Noah Drumond;54;036.467.418-05;26/08/1967;Masculino;Virgem;Elza Ayla Rosa;(14) 2731-1390;(14) 98242-6538;1,78;73;A+
Heloise Luna Silva;40;744.878.228-23;08/08/1981;Feminino;Leão;Larissa Eloá Sandra;(15) 3769-7255;(15) 98285-4536;1,69;45;B+
Agatha Elisa Alana da Conceição;20;672.799.208-88;23/09/2001;Feminino;Libra;Renata Alícia Emilly;(11) 3633-6073;(11) 99237-6028;1,79;52;B-
Otávio Raul Kevin Peixoto;78;614.415.008-04;08/08/1943;Masculino;Leão;Emily Olivia Benedita;(11) 3506-7326;(11) 99485-5572;1,67;94;B-
Aline Aparecida Lima;29;290.792.178-91;02/08/1992;Feminino;Leão;Analu Sebastiana;(14) 2848-3994;(14) 99566-2145;1,84;73;AB+
Manuel Pietro Ryan da Cunha;78;791.149.648-05;08/04/1943;Masculino;Áries;Fabiana Isabelly;(11) 2904-9086;(11) 99210-8689;1,92;82;O-
Danilo Gael Tiago Souza;39;155.921.708-15;14/02/1982;Masculino;Aquário;Isadora Julia;(19) 3555-7186;(19) 98994-7752;1,64;99;O+
Regina Isabela da Paz;55;629.365.548-61;15/08/1966;Feminino;Leão;Daiane Joana Tereza;(11) 2582-2253;(11) 98192-5609;1,52;50;A-
Marcelo Theo Freitas;21;921.963.518-65;07/07/2000;Masculino;Câncer;Isadora Isabelle Sophia;(13) 2627-9777;(13) 98112-4457;1,87;93;AB+
Sophia Nair Santos;31;374.006.288-60;19/11/1990;Feminino;Escorpião;Elaine Stella Antonella;(11) 3846-1634;(11) 98758-3537;1,51;62;A+
César Pedro Henrique Henrique Pereira;52;169.015.328-81;02/05/1969;Masculino;Touro;Milena Bianca Lara;(16) 3817-0288;(16) 99624-3229;1,76;85;O-
Gabriel Victor Almada;69;794.887.228-00;14/06/1952;Masculino;Gêmeos;Marli Isis Luna;(11) 3673-3873;(11) 99206-1471;1,61;106;B+
Filipe Mário Gustavo Assunção;20;839.984.778-02;04/10/2001;Masculino;Libra;Aurora Milena Isabela;(11) 2630-8522;(11) 98745-5181;1,73;79;B-
Emilly Marcela Araújo;51;948.247.498-83;05/12/1970;Feminino;Sagitário;Vanessa Débora;(11) 3561-4523;(11) 98751-0253;1,73;59;O+
Sandra Cristiane Malu Castro;31;775.635.878-37;08/10/1990;Feminino;Libra;Adriana Luna;(11) 2907-0293;(11) 99263-2181;1,57;87;A+
Cláudio Kaique da Paz;23;902.963.868-04;11/12/1998;Masculino;Sagitário;Brenda Raimunda Camila;(17) 2914-1562;(17) 98823-5603;1,78;95;B+
Melissa Josefa Sophia da Rocha;52;367.081.318-70;06/12/1969;Feminino;Sagitário;Bruna Brenda;(13) 3829-5176;(13) 98291-7785;1,75;71;A+
Bianca Luiza Giovana Rodrigues;78;272.387.368-45;27/04/1943;Feminino;Touro;Cecília Maria Brenda;(11) 2932-3215;(11) 98392-2507;1,63;65;A+
Luís Felipe Miguel Santos;20;240.501.548-03;12/11/2001;Masculino;Escorpião;Betina Isabella;(11) 3510-3302;(11) 98132-8799;1,73;57;O-
Aurora Flávia Farias;61;786.531.048-01;20/08/1960;Feminino;Leão;Giovana Esther;(17) 3960-7059;(17) 98205-4848;1,72;85;A-
Rafaela Sara da Luz;22;954.258.758-94;11/04/1999;Feminino;Áries;Sophia Carolina;(14) 3935-6279;(14) 99814-6217;1,73;52;AB+
Severino Henry Kauê Castro;64;997.352.218-45;01/10/1957;Masculino;Libra;Camila Heloisa;(11) 2605-0883;(11) 98248-4759;1,88;82;AB+
Davi Elias Benedito Ramos;39;036.451.128-12;20/07/1982;Masculino;Câncer;Helena Lúcia;(11) 2763-1930;(11) 99522-7389;1,95;63;A-
Bárbara Adriana Lara Farias;67;686.200.688-65;23/09/1954;Feminino;Libra;Cristiane Benedita Simone;(15) 2849-8626;(15) 99673-5253;1,57;69;AB-
Antonio Guilherme Almeida;20;531.453.168-26;04/09/2001;Masculino;Virgem;Giovanna Marina Valentina;(12) 2982-7381;(12) 98299-2696;1,87;80;AB-
Ryan Luís Roberto Monteiro;19;885.142.178-10;06/10/2002;Masculino;Libra;Marcela Regina;(19) 2919-6894;(19) 99657-4205;1,75;88;AB+
Rebeca Caroline Freitas;67;695.918.998-58;02/02/1954;Feminino;Aquário;Clarice Clara Alessandra;(11) 3857-0040;(11) 98887-9160;1,6;72;AB-
Levi Diogo Joaquim Fernandes;24;389.657.198-28;18/04/1997;Masculino;Áries;Gabrielly Priscila Clara;(13) 2750-9809;(13) 99334-0486;1,77;99;B+
Débora Liz Assis;20;524.309.528-15;23/10/2001;Feminino;Escorpião;Catarina Jennifer Antonella;(11) 2769-4201;(11) 99617-9350;1,81;62;A-
Raimundo Enrico Bento Santos;54;214.835.048-08;09/03/1967;Masculino;Peixes;Ayla Clarice;(18) 2733-4831;(18) 98697-3301;1,73;102;B+
Caio Osvaldo Kaique de Paula;61;243.356.438-70;08/12/1960;Masculino;Sagitário;Francisca Ana Stella;(11) 2745-8869;(11) 99580-3430;1,85;57;O+
César Thales Sales;20;369.392.178-43;16/12/2001;Masculino;Sagitário;Catarina Isadora Rafaela;(11) 3559-0595;(11) 99808-9281;1,75;68;B-
Mariana Laís Nair da Silva;67;246.694.368-99;20/08/1954;Feminino;Leão;Tânia Manuela;(14) 3566-9899;(14) 99652-1379;1,78;88;B+
Emanuelly Maitê Pinto;78;033.353.128-05;01/12/1943;Feminino;Sagitário;Jennifer Lívia Ayla;(13) 2622-6918;(13) 98411-6009;1,78;58;AB-
Eduarda Brenda Raimunda Almada;39;948.176.558-01;22/06/1982;Feminino;Câncer;Patrícia Fabiana Valentina;(14) 3546-5842;(14) 98245-9130;1,79;48;O-
Hadassa Elaine Sabrina Pereira;43;512.088.538-13;12/03/1978;Feminino;Peixes;Rayssa Lavínia;(11) 3749-1464;(11) 98789-6330;1,64;68;AB-
Ryan Francisco Osvaldo da Silva;19;837.897.158-91;21/04/2002;Masculino;Touro;Aurora Sabrina;(14) 2511-9836;(14) 99268-3618;1,94;93;B+
Ricardo Juan Monteiro;73;341.409.258-17;21/01/1948;Masculino;Aquário;Eloá Daiane;(11) 2883-3229;(11) 98763-0544;1,73;78;O+
Heitor Fernando Galvão;33;268.626.338-56;07/07/1988;Masculino;Câncer;Fernanda Regina;(11) 3997-6496;(11) 98570-6806;1,99;82;O-
Augusto Ruan Elias Pereira;67;561.215.728-25;16/03/1954;Masculino;Peixes;Renata Eduarda;(19) 2610-4784;(19) 98288-6353;1,82;77;O-
Yuri Enzo Renato Moraes;40;928.187.598-54;14/05/1981;Masculino;Touro;Clara Aurora Alessandra;(11) 3634-2175;(11) 99850-6782;1,94;83;O-
Betina Emily Nair da Silva;21;572.706.258-67;08/06/2000;Feminino;Gêmeos;Rebeca Heloisa Cláudia;(19) 3666-4236;(19) 99923-5020;1,79;64;A+
Cauã Hugo Drumond;62;563.774.978-73;12/06/1959;Masculino;Gêmeos;Fabiana Lorena;(11) 2713-1231;(11) 99764-9867;1,87;97;A+
Luís Anthony Benedito Aragão;19;706.897.738-38;26/02/2002;Masculino;Peixes;Olivia Camila;(11) 3821-3993;(11) 99187-8187;1,91;92;A+
Helena Ana Sebastiana Monteiro;22;473.597.198-01;17/01/1999;Feminino;Capricórnio;Laís Agatha Isabela;(11) 3658-5456;(11) 98465-0738;1,69;89;AB+
Alana Luciana da Conceição;69;638.835.088-70;10/11/1952;Feminino;Escorpião;Luzia Lara Lavínia;(16) 2814-7340;(16) 99971-5289;1,85;85;AB-
Thiago Leonardo Silva;22;822.097.578-43;27/09/1999;Masculino;Libra;Andrea Cecília Débora;(18) 3766-0432;(18) 99279-5936;1,75;63;O-
Jéssica Aparecida Almada;33;402.358.608-08;15/04/1988;Feminino;Áries;Sueli Lorena Teresinha;(11) 2827-8133;(11) 98529-9715;1,8;69;AB-
Luana Isabella Mendes;55;260.935.978-06;22/02/1966;Feminino;Peixes;Bárbara Hadassa Mariana;(11) 2819-1190;(11) 98371-3995;1,58;51;O-
Renato João André Nascimento;64;129.921.928-48;16/02/1957;Masculino;Aquário;Benedita Sebastiana;(11) 2542-0592;(11) 98253-9439;1,98;104;A+
Louise Mariah Figueiredo;40;562.966.028-47;09/10/1981;Feminino;Libra;Laís Laura;(11) 2505-6642;(11) 99258-2577;1,85;82;AB+
Allana Alessandra Agatha Alves;22;013.417.218-33;27/07/1999;Feminino;Leão;Rayssa Betina Ester;(19) 2626-7024;(19) 98434-5024;1,59;83;A-
Flávia Larissa Daiane Bernardes;40;372.352.898-80;20/11/1981;Feminino;Escorpião;Tereza Carolina Emily;(14) 2579-5008;(14) 99558-7957;1,79;72;A-
Allana Aparecida Aparício;20;699.382.218-07;04/03/2001;Feminino;Peixes;Isabela Isis;(11) 2681-1993;(11) 99977-9960;1,68;75;B-
Nicolas Giovanni da Luz;33;634.167.278-00;22/09/1988;Masculino;Virgem;Lorena Isabella;(11) 3807-9840;(11) 99850-7936;1,91;104;A+
Gabrielly Camila Teixeira;39;235.229.998-51;19/02/1982;Feminino;Aquário;Joana Luzia;(12) 3972-3234;(12) 98829-8650;1,73;62;O-
Martin Osvaldo Francisco da Conceição;58;524.330.808-00;05/08/1963;Masculino;Leão;Andreia Rosângela;(17) 3948-0563;(17) 98874-5878;1,74;57;B+
Hadassa Silvana Melissa Teixeira;76;127.584.848-62;16/03/1945;Feminino;Peixes;Esther Allana;(19) 2972-9357;(19) 98973-4111;1,85;76;O-
Yasmin Marcela Caldeira;55;890.564.918-14;08/07/1966;Feminino;Câncer;Manuela Louise Antônia;(18) 2988-0325;(18) 99577-7840;1,53;52;AB+
Manuel Jorge André Assis;61;883.072.148-40;16/02/1960;Masculino;Aquário;Sebastiana Eduarda;(12) 3758-2802;(12) 99738-9728;1,71;102;A-
Juan Rafael Moura;20;175.649.748-69;11/03/2001;Masculino;Peixes;Francisca Kamilly Daniela;(11) 3828-7213;(11) 98258-1561;1,98;106;B+
Felipe Benjamin Carvalho;48;558.999.848-48;16/02/1973;Masculino;Aquário;Isabelle Giovana Julia;(11) 3549-4190;(11) 98132-6959;1,6;73;AB-
Arthur Julio Guilherme Rodrigues;20;626.017.018-11;22/06/2001;Masculino;Câncer;Stefany Julia;(11) 3643-0216;(11) 98807-8705;1,75;74;A+
Giovanna Regina da Conceição;48;313.910.348-48;22/03/1973;Feminino;Áries;Ester Emilly;(11) 3596-3466;(11) 98395-9149;1,73;86;O-
Samuel Jorge Bernardo Bernardes;68;344.963.688-03;08/08/1953;Masculino;Leão;Aparecida Amanda;(14) 2607-5677;(14) 98534-0989;1,8;80;O+
Renato Guilherme Martins;19;446.794.528-89;04/03/2002;Masculino;Peixes;Melissa Mirella Alice;(11) 2724-4732;(11) 99696-4370;1,9;88;B+
Laís Allana Clarice Viana;74;283.142.638-34;01/08/1947;Feminino;Leão;Ester Sara Alessandra;(19) 2723-7689;(19) 99650-2360;1,8;76;B+
Yasmin Isabella Ayla da Rocha;33;750.233.148-47;15/03/1988;Feminino;Peixes;Fátima Ayla Daniela;(11) 2851-3506;(11) 98694-6243;1,73;51;O+
Augusto Cauê Kevin Teixeira;76;654.181.698-07;03/06/1945;Masculino;Gêmeos;Gabriela Aparecida;(11) 2534-8910;(11) 98771-6461;1,9;89;A-
Luciana Isadora Santos;21;530.066.738-24;07/02/2000;Feminino;Aquário;Rebeca Manuela;(11) 2636-4992;(11) 98207-2356;1,65;85;AB-
Aurora Mirella Fernanda Assunção;20;368.663.258-62;25/02/2001;Feminino;Peixes;Stella Rosa Helena;(14) 3683-9979;(14) 99236-0046;1,79;76;A+
Diogo Diego Thomas Barbosa;69;186.106.068-80;11/11/1952;Masculino;Escorpião;Ester Elaine Letícia;(12) 2784-8737;(12) 99258-4492;1,91;66;O+
Benício César da Luz;54;755.907.558-40;27/07/1967;Masculino;Leão;Analu Helena;(14) 3703-9897;(14) 99518-3735;1,82;97;B-
Murilo Nicolas Lima;29;779.762.338-40;13/11/1992;Masculino;Escorpião;Lúcia Jéssica Clarice;(11) 2605-8289;(11) 98233-2376;1,74;110;B+
Manuel Thiago Ribeiro;66;758.806.908-22;18/02/1955;Masculino;Aquário;Analu Bruna Maitê;(11) 2947-3698;(11) 99128-4997;1,63;86;AB-
Kaique Igor Marcelo Moreira;23;729.854.348-23;15/09/1998;Masculino;Virgem;Rosângela Rafaela;(19) 2583-5510;(19) 99132-9678;1,85;108;AB-
Edson Márcio Ian Pereira;20;916.175.228-21;07/02/2001;Masculino;Aquário;Gabriela Sophie;(11) 2665-6079;(11) 98483-2613;1,91;99;AB+
Vera Sebastiana Alves;52;977.021.468-00;23/06/1969;Feminino;Câncer;Vitória Isabelly;(11) 3776-5368;(11) 98472-2647;1,78;67;AB+
Melissa Milena Barros;73;134.197.428-60;04/04/1948;Feminino;Áries;Nina Sandra Lúcia;(13) 2900-8318;(13) 99968-8371;1,79;80;O+
Benício Noah Barbosa;69;197.345.798-94;27/09/1952;Masculino;Libra;Sueli Isabel;(11) 3898-6787;(11) 98709-2336;1,69;99;AB-
Luís Luan Pires;43;045.812.408-75;27/06/1978;Masculino;Câncer;Jaqueline Sabrina;(11) 2872-0750;(11) 99425-9874;1,88;78;B-
Augusto Fábio Theo Novaes;39;396.241.648-00;27/11/1982;Masculino;Sagitário;Priscila Lívia;(17) 2919-8241;(17) 99132-4770;1,78;110;A-
Aurora Simone das Neves;33;105.902.718-65;18/10/1988;Feminino;Libra;Isabella Alana;(11) 3910-8361;(11) 99502-8859;1,65;49;O-
Diogo Otávio Caleb Carvalho;62;841.449.068-92;06/03/1959;Masculino;Peixes;Lorena Bianca;(11) 2535-7413;(11) 99502-0582;1,72;60;O+
Pietro Yuri Ramos;40;737.586.718-68;18/05/1981;Masculino;Touro;Sophia Isabelly;(19) 3509-1386;(19) 98728-3314;1,68;91;AB-
Ruan Anthony Noah da Mata;43;887.667.298-23;24/12/1978;Masculino;Capricórnio;Stella Evelyn Juliana;(11) 3899-2656;(11) 98737-1599;1,77;63;O+
Sérgio Gustavo Nunes;20;561.164.358-23;21/05/2001;Masculino;Gêmeos;Fernanda Priscila Alana;(19) 3838-7683;(19) 98397-0792;1,61;106;O+
Olivia Rebeca Moraes;73;120.669.988-42;04/10/1948;Feminino;Libra;Giovanna Emily;(13) 3774-9944;(13) 99428-8420;1,65;54;AB+
Patrícia Sônia Porto;20;317.474.218-80;12/12/2001;Feminino;Sagitário;Stefany Raimunda;(11) 3759-9458;(11) 99870-7478;1,72;66;AB-
Anthony Gustavo Sérgio Dias;20;390.815.528-21;11/11/2001;Masculino;Escorpião;Manuela Luiza Rafaela;(11) 3667-2235;(11) 98581-8326;1,96;83;B+
Sara Carla Cardoso;74;455.057.318-05;11/06/1947;Feminino;Gêmeos;Agatha Rosa Luzia;(11) 2833-6959;(11) 99377-3342;1,7;48;B+
Lorenzo Daniel Sebastião Aparício;67;203.482.028-22;09/05/1954;Masculino;Touro;Isabelle Carolina;(12) 3630-3051;(12) 99824-1657;1,84;76;B-
Raul Bruno Iago Ferreira;61;977.746.768-05;04/08/1960;Masculino;Leão;Aurora Stella Lorena;(18) 3764-2713;(18) 98627-2929;1,72;51;B-
Louise Marina Carolina Moraes;74;003.486.298-69;15/11/1947;Feminino;Escorpião;Allana Lorena Maitê;(12) 3883-5958;(12) 99365-4240;1,58;83;A+
Gabriela Evelyn Duarte;67;949.320.738-28;13/07/1954;Feminino;Câncer;Cecília Raquel Sueli;(11) 2513-0109;(11) 98924-6740;1,83;66;A+
Davi Tomás Cauã Assis;58;674.401.208-84;07/03/1963;Masculino;Peixes;Teresinha Rita;(11) 3700-3826;(11) 99141-9920;1,65;83;O+
Teresinha Camila Assis;66;894.618.908-85;08/01/1955;Feminino;Capricórnio;Aline Marina;(14) 2589-0114;(14) 98248-0073;1,59;85;O-
Manoel Caio Duarte;40;622.399.628-44;10/09/1981;Masculino;Virgem;Catarina Maria Ana;(11) 2692-3520;(11) 98999-2603;1,96;80;A+
Sara Raimunda Alícia Bernardes;33;591.180.678-91;20/07/1988;Feminino;Câncer;Cláudia Fernanda;(19) 2867-6569;(19) 99583-8093;1,58;80;A-
Carolina Malu de Paula;66;116.917.228-80;26/07/1955;Feminino;Leão;Emily Eloá Rosângela;(13) 3755-3865;(13) 99223-5777;1,52;55;O-
Davi Francisco dos Santos;52;246.529.888-77;10/06/1969;Masculino;Gêmeos;Rayssa Giovana Daniela;(17) 2853-1779;(17) 99381-6719;1,85;86;AB-
Patrícia Emilly Agatha Lopes;44;765.461.218-40;09/10/1977;Feminino;Libra;Sabrina Sophie;(14) 2748-8908;(14) 98704-0037;1,7;45;A-
Sophia Joana Sara Nascimento;31;239.977.418-32;16/07/1990;Feminino;Câncer;Julia Heloisa Aparecida;(14) 2801-9846;(14) 98983-5612;1,56;78;B+
Rayssa Olivia Moraes;24;476.155.718-47;15/09/1997;Feminino;Virgem;Isis Vanessa;(14) 3925-2218;(14) 99538-7351;1,67;47;A+
Eloá Carla Cristiane Bernardes;68;427.110.948-71;20/05/1953;Feminino;Touro;Letícia Elisa Sebastiana;(19) 3719-2802;(19) 99844-7948;1,85;66;AB+
Cláudio Oliver Pereira;20;349.821.478-09;27/10/2001;Masculino;Escorpião;Luiza Mirella;(11) 2905-4937;(11) 99453-0573;1,92;84;A+
Manuel Rafael Iago Baptista;23;264.088.658-44;14/10/1998;Masculino;Libra;Antonella Francisca Yasmin;(11) 3966-2034;(11) 98327-8305;1,76;84;AB-
Miguel André Augusto Moura;68;255.789.778-71;18/10/1953;Masculino;Libra;Beatriz Clarice Eloá;(19) 3999-7362;(19) 99385-7572;1,9;77;O+
Antônia Daniela Assunção;22;096.746.478-13;18/06/1999;Feminino;Gêmeos;Lavínia Luciana;(11) 2650-9095;(11) 98106-8995;1,64;75;B+
Gabrielly Luciana Barbosa;20;163.252.538-09;07/12/2001;Feminino;Sagitário;Beatriz Marcela Juliana;(14) 2753-3389;(14) 98538-1896;1,71;68;O+
Marcos Vinicius Diogo Fábio Pires;64;621.603.958-03;08/06/1957;Masculino;Gêmeos;Rita Liz Clarice;(19) 3622-3092;(19) 98345-4851;1,95;66;A+
Giovanna Lúcia Regina Pires;20;636.635.338-75;20/08/2001;Feminino;Leão;Carolina Luiza Lavínia;(16) 3827-8912;(16) 99903-9696;1,57;76;B+
